method,n_gt,n_pred,fid,e2e,t
list,27,19,0.263,0.154,0.49
client_class,87,20,0.6,0.526,0.47
errors_module,10,300,0.5,0.526,3.57
waiters_module,20,300,0.35,0.462,3.61
authorizer_class,11,300,0.273,0.571,3.62
plugin_class,26,300,0.154,0.0,3.61
options,5,4,0.5,0.8,0.34
block_comment,36,300,0.25,0.316,3.57
escape_html,10,6,0.333,0.444,0.33
default,13,8,0.625,1.0,0.32
endpoint_parameter_value,71,300,0.211,0.242,3.57
context_param_value,56,300,0.179,0.291,3.6
error_struct?,24,300,0.458,0.458,3.63
format,10,300,0.2,0.471,3.64
output_event_entries,64,300,0.312,0.167,3.7
input_eventstream_shape,41,300,0.463,0.4,3.63
features_step_definitions_file,8,300,0.375,0.571,3.65
hash,29,300,0.414,0.357,3.65
inline_hash?,17,300,0.059,0.129,3.63
lstrip_prefix,13,6,0.5,0.444,0.38
operation_bidirectional_eventstreaming?,15,7,0.143,0.333,0.32
eventstream_input?,46,300,0.217,0.271,3.59
each,7,6,0.333,0.2,0.37
compute_plugins,48,300,0.479,0.232,3.58
complex?,27,300,0.185,0.308,3.68
ddb_av?,25,300,0.36,0.275,3.65
map,28,300,0.179,0.218,3.68
more_indent,6,6,0.5,0.6,0.37
has_associations,68,300,0.265,0.35,3.64
documentation,66,300,0.364,0.268,3.69
has_associations,25,300,0.2,0.245,3.66
dangerous?,38,6,0.167,0.2,0.38
initialize,21,17,0.706,0.312,0.43
build,16,300,0.438,0.333,3.61
option_tags,55,300,0.2,0.259,3.64
input_shape,6,9,0.5,0.545,0.41
relative_identifier_path,67,300,0.209,0.355,3.58
loop_context,26,12,0.167,0.333,0.44
assignment,10,9,0.222,0.375,0.36
nullable?,7,9,0.143,0.308,0.34
null_checks,14,6,0.333,0.0,0.32
initialize,24,300,0.542,0.391,3.55
paginated_request,28,300,0.357,0.074,3.67
param_request_parameter,34,300,0.176,0.103,3.64
wait_call,39,300,0.256,0.234,3.67
endpoint_discovery_required?,20,10,0.5,0.333,0.43
entry,53,300,0.245,0.214,3.59
format,35,300,0.429,0.149,3.69
async_format,11,6,0.5,0.8,0.37
struct,70,300,0.129,0.282,3.6
underscore,38,300,0.5,0.267,3.66
block_comment,10,300,0.5,0.333,3.66
initialize,27,13,0.385,0.32,0.45
plugin_class_names,11,12,0.455,0.381,0.37
initialize,7,7,0.286,0.182,0.32
module_name,4,4,0.75,0.8,0.28
shapes,40,300,0.35,0.253,3.61
endpoint_operation,20,6,0.333,0.0,0.38
non_error_struct?,29,8,0.625,0.462,0.33
error_struct?,24,300,0.458,0.458,3.61
shape_ref_required,10,300,0.1,0.0,3.64
shape_ref_location,15,300,0.533,0.214,3.66
pager,99,300,0.242,0.332,3.65
lines,18,300,0.222,0.27,3.66
module_name,4,4,0.75,0.8,0.34
endpoint_rules_code,52,300,0.346,0.302,3.62
template_hash_values,19,9,0.333,0.125,0.41
initialize,110,300,0.418,0.272,3.59
generated_src_warning,10,300,0.3,0.333,3.68
account_id_endpoint_mode_option,34,300,0.471,0.182,3.69
initialize,12,7,0.714,0.667,0.4
module_name,4,3,0.333,1.0,0.28
query_or_query_compatible_service?,13,300,0.462,0.25,3.6
param_hash,5,7,0.4,0.75,0.38
deep_underscore,32,11,0.364,0.3,0.36
initialize,13,11,0.455,0.4,0.37
summary,11,300,0.182,0.211,3.61
initialize,45,20,0.55,0.316,0.54
service_name,3,3,0.667,1.0,0.29
initialize,11,7,0.714,0.667,0.31
struct_members,74,20,0.4,0.211,0.47
eventstream_class_docs,5,300,0.4,0.25,3.59
initialize,20,10,0.3,0.125,0.42
associations?,6,7,0.333,0.667,0.32
customization_file_exists?,13,300,0.385,0.261,3.59
resource_customization,8,300,0.5,0.533,3.64
actions?,6,7,0.333,0.667,0.38
full_name,4,3,0.333,1.0,0.26
requires,5,6,0.4,0.571,0.3
require_core_guard?,4,5,0.5,0.857,0.29
auto_load,16,6,0.5,0.2,0.3
eventstream_shape?,19,6,0.333,0.0,0.31
initialize,80,300,0.087,0.129,3.62
built_in_to_param,96,300,0.354,0.211,3.67
generated_src_warning,7,7,0.286,0.333,0.39
initialize,19,13,0.692,0.5,0.42
shape,9,10,0.444,0.625,0.35
empty?,3,3,0.667,1.0,0.26
initialize,7,7,0.286,0.182,0.32
data_to_hash,61,300,0.246,0.295,3.62
match_error_code,33,300,0.273,0.387,3.67
assert,80,300,0.188,0.267,3.67
initialize,31,300,0.29,0.339,3.67
parse,117,300,0.342,0.3,3.72
close_change_set,9,9,0.222,0.25,0.41
load_json,7,10,0.143,0.462,0.34
apply_doc_customizations,13,6,0.167,0.222,0.3
write_file,19,15,0.6,0.345,0.41
replace,14,10,0.3,0.444,0.35
load_client_examples,88,20,0.4,0.27,0.47
replace_lines,112,300,0.232,0.224,3.63
initialize,9,9,0.444,0.5,0.41
each,8,5,0.4,0.333,0.29
services,25,13,0.385,0.24,0.38
gem_paths,15,300,0.4,0.333,3.61
gem_lib_paths,15,300,0.4,0.333,3.68
initialize,12,300,0.25,0.435,3.64
wrap_as_enumerator,11,8,0.375,0.429,0.39
decode_message,89,300,0.236,0.323,3.59
payload_tempfile,15,8,0.25,0.429,0.39
format_value,14,13,0.462,0.385,0.39
format_uuid,45,300,0.156,0.234,3.59
format_timestamp,8,300,0.125,0.143,3.68
each,7,5,0.4,0.5,0.35
default_partition_list,13,300,0.385,0.48,3.58
endpoint_for,17,300,0.235,0.125,3.67
endpoint_with_variants_for,28,300,0.25,0.077,3.65
service,29,300,0.414,0.4,3.7
services,4,4,0.75,0.8,0.35
build_regions,33,300,0.424,0.338,3.55
build_services,32,300,0.312,0.281,3.64
build,44,300,0.5,0.395,3.67
partition_region,6,9,0.333,0.6,0.42
cancel_policy_generation,14,8,0.25,0.286,0.33
create_access_preview,14,8,0.25,0.286,0.32
create_analyzer,14,8,0.25,0.286,0.32
list_access_preview_findings,14,8,0.25,0.286,0.33
list_access_previews,14,300,0.143,0.296,3.6
waiter_names,3,3,0.333,1.0,0.33
initialize,47,13,0.308,0.5,0.4
message,7,4,0.5,0.8,0.27
retry_after_seconds,5,4,0.75,0.8,0.28
retryable?,3,4,0.333,0.5,0.27
enable_region,14,300,0.286,0.296,3.56
put_alternate_contact,14,8,0.25,0.286,0.39
build_request,60,20,0.4,0.263,0.47
message,7,6,0.333,0.25,0.31
message,7,6,0.333,0.25,0.27
apply_endpoint_headers,31,300,0.387,0.262,3.56
add_handlers,14,300,0.357,0.148,3.66
get_certificate,14,300,0.143,0.296,3.68
can_create_topic,5,5,0.6,0.75,0.36
profile_hidden?,3,5,0.667,1.0,0.28
can_send_private_message_to_user,5,6,0.4,0.333,0.3
body,62,300,0.548,0.306,3.6
error,9,5,0.6,1.0,0.36
include_email?,9,9,0.222,0.533,0.34
unseen,4,4,0.25,0.4,0.27
unread,3,4,0.667,1.0,0.28
reason,4,4,0.5,0.8,0.27
external_id,6,8,0.333,0.8,0.32
include_acting_user_name?,5,5,0.4,0.75,0.28
created_by_id,4,4,0.5,0.8,0.28
description,20,300,0.35,0.3,3.61
applies_to,4,5,0.5,0.857,0.35
username,5,4,0.5,0.8,0.27
add_compared_field,44,300,0.636,0.322,3.58
current_hidden,5,4,0.5,0.8,0.34
include_edit_reason?,14,6,0.167,0.444,0.3
locale_changes,22,300,0.545,0.667,3.6
revisions,16,300,0.25,0.387,3.66
hidden_tags,7,8,0.429,0.667,0.39
moderator?,8,5,0.4,0.75,0.29
flair_bg_color,6,6,0.333,0.25,0.3
flair_color,6,8,0.333,0.444,0.32
flair_group_id,5,4,0.5,0.8,0.28
link_counts,58,300,0.5,0.31,3.56
user_title,5,4,0.5,0.8,0.34
reply_to_user,23,300,0.435,0.591,3.55
include_deleted_by?,8,8,0.5,0.667,0.39
