method,n_gt,n_pred,fid,e2e,t
list,27,300,0.222,0.192,3.68
client_class,87,20,0.6,0.526,0.53
errors_module,10,300,0.5,0.526,3.62
waiters_module,20,300,0.5,0.474,3.65
authorizer_class,11,300,0.273,0.571,3.67
plugin_class,26,300,0.269,0.24,3.66
options,5,4,0.5,0.8,0.36
block_comment,36,300,0.25,0.316,3.59
escape_html,10,6,0.333,0.444,0.38
default,13,8,0.625,1.0,0.32
endpoint_parameter_value,71,300,0.282,0.27,3.6
context_param_value,56,300,0.179,0.291,3.7
error_struct?,24,300,0.458,0.458,3.66
format,10,6,0.5,0.4,0.37
output_event_entries,64,300,0.156,0.183,3.62
input_eventstream_shape,41,300,0.463,0.4,3.65
features_step_definitions_file,8,300,0.375,0.571,3.64
hash,29,300,0.414,0.357,3.63
inline_hash?,17,300,0.059,0.129,3.67
lstrip_prefix,13,6,0.5,0.444,0.38
operation_bidirectional_eventstreaming?,15,7,0.143,0.333,0.32
eventstream_input?,46,300,0.217,0.271,3.6
each,7,4,0.25,0.4,0.36
compute_plugins,48,300,0.479,0.232,3.65
complex?,27,300,0.185,0.308,3.69
ddb_av?,25,300,0.36,0.275,3.77
map,28,300,0.179,0.218,3.68
more_indent,6,6,0.5,0.6,0.37
has_associations,68,300,0.265,0.35,3.62
documentation,66,300,0.364,0.268,3.67
has_associations,25,300,0.4,0.125,3.68
dangerous?,38,6,0.167,0.2,0.38
initialize,21,17,0.706,0.312,0.43
build,16,300,0.438,0.333,3.62
option_tags,55,300,0.2,0.259,3.71
input_shape,6,9,0.5,0.545,0.41
relative_identifier_path,67,300,0.209,0.355,3.61
loop_context,26,12,0.167,0.333,0.45
assignment,10,9,0.222,0.375,0.33
nullable?,7,9,0.143,0.308,0.34
null_checks,14,300,0.286,0.32,3.62
initialize,24,300,0.542,0.391,3.64
paginated_request,28,300,0.357,0.145,3.7
param_request_parameter,34,300,0.206,0.09,3.67
wait_call,39,300,0.256,0.234,3.71
endpoint_discovery_required?,20,11,0.455,0.286,0.44
entry,53,300,0.245,0.214,3.6
format,35,300,0.2,0.085,3.68
async_format,11,6,0.5,0.8,0.38
struct,70,300,0.129,0.282,3.63
underscore,38,300,0.579,0.243,3.65
block_comment,10,9,0.444,0.25,0.41
initialize,27,13,0.385,0.32,0.39
plugin_class_names,11,12,0.455,0.381,0.37
initialize,7,7,0.286,0.182,0.31
module_name,4,4,0.75,0.8,0.28
shapes,40,300,0.475,0.462,3.58
endpoint_operation,20,6,0.333,0.0,0.38
non_error_struct?,29,8,0.625,0.462,0.33
error_struct?,24,300,0.458,0.458,3.63
shape_ref_required,10,300,0.1,0.0,3.65
shape_ref_location,15,300,0.533,0.214,3.66
pager,99,300,0.242,0.332,3.69
lines,18,300,0.222,0.27,3.68
module_name,4,4,0.75,0.8,0.35
endpoint_rules_code,52,300,0.346,0.302,3.6
template_hash_values,19,9,0.333,0.125,0.42
initialize,110,300,0.418,0.272,3.6
generated_src_warning,10,300,0.3,0.333,3.66
account_id_endpoint_mode_option,34,300,0.471,0.182,3.68
initialize,12,9,0.556,0.625,0.42
module_name,4,3,0.333,1.0,0.26
query_or_query_compatible_service?,13,300,0.462,0.25,3.59
param_hash,5,9,0.4,0.75,0.4
deep_underscore,32,11,0.364,0.3,0.36
initialize,13,11,0.455,0.4,0.36
summary,11,300,0.182,0.211,3.59
initialize,45,20,0.55,0.316,0.54
service_name,3,3,0.667,1.0,0.29
initialize,11,7,0.714,0.667,0.31
struct_members,74,20,0.4,0.211,0.47
eventstream_class_docs,5,300,0.4,0.25,3.6
initialize,20,10,0.3,0.125,0.42
associations?,6,7,0.333,0.667,0.32
customization_file_exists?,13,300,0.231,0.25,3.61
resource_customization,8,300,0.5,0.533,3.66
actions?,6,7,0.333,0.667,0.38
full_name,4,3,0.333,1.0,0.26
requires,5,6,0.4,0.571,0.3
require_core_guard?,4,5,0.5,0.857,0.29
auto_load,16,6,0.5,0.2,0.3
eventstream_shape?,19,6,0.333,0.0,0.3
initialize,80,300,0.087,0.129,3.63
built_in_to_param,96,300,0.354,0.211,3.69
generated_src_warning,7,7,0.286,0.333,0.4
initialize,19,13,0.692,0.5,0.38
shape,9,9,0.222,0.133,0.34
empty?,3,3,0.667,1.0,0.26
initialize,7,7,0.286,0.182,0.31
data_to_hash,61,300,0.246,0.295,3.64
match_error_code,33,300,0.273,0.387,3.67
assert,80,300,0.188,0.267,3.68
initialize,31,300,0.29,0.339,3.66
parse,117,300,0.342,0.3,3.69
close_change_set,9,9,0.222,0.25,0.41
load_json,7,10,0.143,0.462,0.34
apply_doc_customizations,13,6,0.167,0.222,0.31
write_file,19,13,0.538,0.348,0.38
replace,14,300,0.143,0.308,3.59
load_client_examples,88,20,0.4,0.27,0.53
replace_lines,112,300,0.277,0.14,3.62
initialize,9,9,0.444,0.5,0.41
each,8,5,0.4,0.333,0.28
services,25,13,0.385,0.24,0.39
gem_paths,15,300,0.4,0.333,3.59
gem_lib_paths,15,300,0.267,0.207,3.66
initialize,12,300,0.25,0.435,3.67
wrap_as_enumerator,11,300,0.455,0.286,3.69
decode_message,89,300,0.236,0.323,3.69
payload_tempfile,15,9,0.333,0.375,0.42
format_value,14,13,0.462,0.385,0.38
format_uuid,45,300,0.244,0.319,3.6
format_timestamp,8,300,0.125,0.143,3.66
each,7,5,0.4,0.5,0.36
default_partition_list,13,10,0.5,0.333,0.35
endpoint_for,17,300,0.235,0.125,3.58
endpoint_with_variants_for,28,300,0.25,0.077,3.64
