Sample,Original_Nodes,Reconstructed_Nodes,Node_Diff,Perfect_Preservation,Embedding_Dim
14,28,28,0,True,64
17,65,65,0,True,64
19,30,30,0,True,64
34,31,31,0,True,64
59,18,18,0,True,64
78,10,10,0,True,64
91,10,10,0,True,64
95,10,10,0,True,64
103,83,83,0,True,64
105,73,73,0,True,64
115,89,89,0,True,64
121,44,44,0,True,64
128,28,28,0,True,64
132,54,54,0,True,64
141,17,17,0,True,64
145,47,47,0,True,64
169,16,16,0,True,64
170,21,21,0,True,64
187,25,25,0,True,64
189,28,28,0,True,64
189,28,28,0,True,64
206,25,25,0,True,64
220,21,21,0,True,64
242,12,12,0,True,64
252,13,13,0,True,64
272,98,98,0,True,64
301,70,70,0,True,64
306,18,18,0,True,64
316,53,53,0,True,64
322,13,13,0,True,64
338,25,25,0,True,64
368,49,49,0,True,64
373,44,44,0,True,64
379,51,51,0,True,64
400,35,35,0,True,64
403,25,25,0,True,64
425,25,25,0,True,64
434,88,88,0,True,64
446,110,110,0,True,64
448,22,22,0,True,64
449,86,86,0,True,64
463,55,55,0,True,64
464,15,15,0,True,64
478,93,93,0,True,64
481,47,47,0,True,64
487,62,62,0,True,64
499,19,19,0,True,64
512,23,23,0,True,64
533,12,12,0,True,64
550,25,25,0,True,64
562,49,49,0,True,64
579,138,138,0,True,64
580,25,25,0,True,64
590,10,10,0,True,64
601,125,125,0,True,64
607,15,15,0,True,64
615,13,13,0,True,64
624,43,43,0,True,64
638,30,30,0,True,64
643,30,30,0,True,64
656,130,130,0,True,64
658,128,128,0,True,64
667,20,20,0,True,64
668,14,14,0,True,64
669,24,24,0,True,64
671,25,25,0,True,64
689,18,18,0,True,64
691,31,31,0,True,64
693,22,22,0,True,64
693,22,22,0,True,64
702,19,19,0,True,64
710,81,81,0,True,64
713,23,23,0,True,64
721,18,18,0,True,64
748,127,127,0,True,64
751,64,64,0,True,64
754,89,89,0,True,64
765,50,50,0,True,64
768,65,65,0,True,64
777,66,66,0,True,64
800,62,62,0,True,64
811,100,100,0,True,64
819,14,14,0,True,64
831,88,88,0,True,64
858,10,10,0,True,64
860,12,12,0,True,64
864,21,21,0,True,64
889,23,23,0,True,64
912,22,22,0,True,64
932,41,41,0,True,64
938,28,28,0,True,64
939,14,14,0,True,64
944,18,18,0,True,64
948,25,25,0,True,64
965,26,26,0,True,64
975,100,100,0,True,64
976,77,77,0,True,64
984,100,100,0,True,64
987,54,54,0,True,64
999,30,30,0,True,64
1009,21,21,0,True,64
1054,19,19,0,True,64
1094,21,21,0,True,64
1099,10,10,0,True,64
1112,31,31,0,True,64
1119,14,14,0,True,64
1130,30,30,0,True,64
1134,12,12,0,True,64
1137,35,35,0,True,64
1144,42,42,0,True,64
1146,112,112,0,True,64
1155,23,23,0,True,64
1161,22,22,0,True,64
1163,21,21,0,True,64
1171,14,14,0,True,64
1185,29,29,0,True,64
1195,41,41,0,True,64
1197,18,18,0,True,64
1213,40,40,0,True,64
1230,25,25,0,True,64
1240,74,74,0,True,64
1294,126,126,0,True,64
1308,65,65,0,True,64
1311,42,42,0,True,64
1332,10,10,0,True,64
1343,81,81,0,True,64
1366,40,40,0,True,64
1393,25,25,0,True,64
1403,40,40,0,True,64
1410,41,41,0,True,64
1418,23,23,0,True,64
1425,17,17,0,True,64
1441,28,28,0,True,64
1449,13,13,0,True,64
1457,23,23,0,True,64
1467,30,30,0,True,64
1480,87,87,0,True,64
1483,20,20,0,True,64
1508,125,125,0,True,64
1522,56,56,0,True,64
1538,50,50,0,True,64
1545,105,105,0,True,64
1564,8,8,0,True,64
1594,29,29,0,True,64
1597,42,42,0,True,64
1607,25,25,0,True,64
1613,22,22,0,True,64
1615,25,25,0,True,64
1641,10,10,0,True,64
1647,25,25,0,True,64
1650,32,32,0,True,64
1670,120,120,0,True,64
1682,11,11,0,True,64
1683,10,10,0,True,64
1685,65,65,0,True,64
1692,25,25,0,True,64
1706,32,32,0,True,64
1719,11,11,0,True,64
1723,22,22,0,True,64
1735,51,51,0,True,64
1772,103,103,0,True,64
1773,27,27,0,True,64
1797,25,25,0,True,64
1798,16,16,0,True,64
1802,11,11,0,True,64
1810,90,90,0,True,64
1831,33,33,0,True,64
1842,25,25,0,True,64
1843,25,25,0,True,64
1845,11,11,0,True,64
1846,58,58,0,True,64
1857,26,26,0,True,64
1858,33,33,0,True,64
1869,17,17,0,True,64
1871,38,38,0,True,64
1879,25,25,0,True,64
1891,69,69,0,True,64
1907,37,37,0,True,64
1908,8,8,0,True,64
1929,15,15,0,True,64
1941,22,22,0,True,64
1942,40,40,0,True,64
1944,84,84,0,True,64
1965,34,34,0,True,64
1984,25,25,0,True,64
1991,57,57,0,True,64
2021,25,25,0,True,64
2033,25,25,0,True,64
2067,30,30,0,True,64
2069,12,12,0,True,64
2080,70,70,0,True,64
2084,47,47,0,True,64
2111,39,39,0,True,64
2118,10,10,0,True,64
2119,25,25,0,True,64
2124,16,16,0,True,64
2138,25,25,0,True,64
